temp,violet,blue,green,yellow,orange,red,lux,label
25.0,2409.0,395.0,3294.0,3416.0,17061.0,3658.0,359.17,1
25.0,2407.0,395.0,3294.0,3415.0,17062.0,3657.0,360.0,1
25.0,2408.0,395.0,3296.0,3415.0,17063.0,3658.0,359.17,1
25.0,2409.0,395.0,3294.0,3416.0,17061.0,3658.0,359.17,1
25.0,2408.0,395.0,3290.0,3412.0,17056.0,3661.0,359.17,1
25.0,2412.0,396.0,3292.0,3412.0,17060.0,3658.0,359.17,1
25.0,2408.0,395.0,3289.0,3413.0,17060.0,3661.0,359.17,1
25.0,2411.0,396.0,3296.0,3417.0,17078.0,3666.0,360.0,1
25.0,2409.0,395.0,3290.0,3413.0,17063.0,3660.0,360.0,1
25.0,2412.0,395.0,3297.0,3418.0,17082.0,3668.0,360.0,1
25.0,2409.0,395.0,3295.0,3415.0,17069.0,3663.0,359.17,1
25.0,2411.0,395.0,3294.0,3416.0,17085.0,3664.0,360.0,1
25.0,2410.0,395.0,3293.0,3416.0,17077.0,3666.0,360.0,1
25.0,2415.0,396.0,3299.0,3420.0,17085.0,3669.0,360.0,1
25.0,2414.0,396.0,3299.0,3420.0,17085.0,3670.0,360.0,1
25.0,2414.0,396.0,3298.0,3419.0,17078.0,3669.0,360.0,1
25.0,2411.0,396.0,3296.0,3417.0,17071.0,3664.0,360.0,1
25.0,2413.0,396.0,3296.0,3419.0,17073.0,3669.0,359.17,1
25.0,2410.0,396.0,3294.0,3419.0,17072.0,3668.0,360.0,1
25.0,3114.0,448.0,3446.0,3476.0,16710.0,3533.0,365.0,2
25.0,3092.0,443.0,3426.0,3449.0,16597.0,3506.0,360.83,2
25.0,3104.0,446.0,3442.0,3466.0,16676.0,3526.0,364.17,2
25.0,3109.0,447.0,3451.0,3474.0,16703.0,3535.0,364.17,2
25.0,3108.0,446.0,3446.0,3469.0,16673.0,3528.0,364.17,2
25.0,3093.0,444.0,3449.0,3473.0,16693.0,3533.0,365.0,2
24.0,3112.0,448.0,3424.0,3448.0,16586.0,3508.0,362.5,2
25.0,3101.0,447.0,3405.0,3427.0,16478.0,3484.0,360.0,2
25.0,3075.0,442.0,3409.0,3434.0,16515.0,3493.0,360.83,2
25.0,3099.0,445.0,3409.0,3430.0,16487.0,3486.0,360.0,2
